Park,Unit Code,Park Type,Region,State,Year,Recreation Visits
Johnstown Flood NMEM,JOFL,National Memorial,Northeast ,PA,2019,183143
Joshua Tree NP,JOTR,National Park,Pacific West ,CA,2019,2988547
Kalaupapa NHP,KALA,National Historical Park,Pacific West ,HI,2019,69401
Kaloko Honokohau NHP,KAHO,National Historical Park,Pacific West ,HI,2019,232921
Katmai NP & PRES,KATM,National Park,Alaska,AK,2019,84167
Kenai Fjords NP,KEFJ,National Park,Alaska,AK,2019,356601
Kennesaw Mountain NBP,KEMO,National Battlefield Park,Southeast ,GA,2019,2621050
Keweenaw NHP,KEWE,National Historical Park,Midwest ,,2019,20535
Kings Canyon NP,KICA,National Park,Pacific West ,CA,2019,632110
Kings Mountain NMP,KIMO,National Military Park,Southeast ,SC,2019,262031
Klondike Gold Rush NHP Alaska,KLGO,National Historical Park,Alaska,AK,2019,1116161
Klondike Gold Rush NHP Seattle,KLSE,National Historical Park,Pacific West ,WA,2019,109799
Knife River Indian Villages NHS,KNRI,National Historic Site,Midwest ,ND,2019,10354
Kobuk Valley NP,KOVA,National Park,Alaska,AK,2019,15766
Korean War Veterans Memorial,KOWA,National Memorial,National Capital ,DC,2019,3841633
Lake Chelan NRA,LACH,National Recreation Area,Pacific West ,WA,2019,38785
Lake Clark NP & PRES,LACL,National Park,Alaska,AK,2019,17157
Lake Mead NRA,LAKE,National Recreation Area,Pacific West ,NV,2019,7499049
Lake Meredith NRA,LAMR,National Recreation Area,Intermountain ,TX,2019,1328340
Lake Roosevelt NRA,LARO,National Recreation Area,Pacific West ,WA,2019,1358818
Lassen Volcanic NP,LAVO,National Park,Pacific West ,CA,2019,517039
Lava Beds NM,LABE,National Monument,Pacific West ,CA,2019,109630
LBJ Memorial Grove on the Potomac,LYBA,National Memorial,National Capital ,DC,2019,244246
Lewis & Clark NHP,LEWI,National Historical Park,Pacific West ,OR,2019,270993
Lincoln Boyhood NMEM,LIBO,National Memorial,Midwest ,IN,2019,138714
Lincoln Home NHS,LIHO,National Historic Site,Midwest ,IL,2019,197816
Lincoln Memorial,LINC,National Memorial,National Capital ,DC,2019,7808182
Little Bighorn Battlefield NM,LIBI,National Monument,Intermountain ,MT,2019,241304
Little River Canyon NPRES,LIRI,National Preserve,Southeast ,AL,2019,649986
Little Rock Central High School NHS,CHSC,National Historic Site,Midwest ,AR,2019,168918
Longfellow House Washington's HQ NHS,LONG,National Historic Site,Northeast ,MA,2019,55012
Lowell NHP,LOWE,National Historical Park,Northeast ,MA,2019,481536
Lyndon B. Johnson NHP,LYJO,National Historical Park,Intermountain ,TX,2019,111972
Maggie L. Walker NHS,MAWA,National Historic Site,Northeast ,VA,2019,9602
Mammoth Cave NP,MACA,National Park,Southeast ,KY,2019,551590
Manassas NBP,MANA,National Battlefield Park,National Capital ,VA,2019,510427
Manhattan Project NHP,MAPR,National Historical Park,Intermountain ,,2019,79870
Manzanar NHS,MANZ,National Historic Site,Pacific West ,CA,2019,97380
Marsh-Billings-Rockefeller NHP,MABI,National Historical Park,Northeast ,VT,2019,45979
"Martin Luther King, Jr. Memorial",MLKM,National Memorial,National Capital ,DC,2019,3667562
"Martin Luther King, Jr. NHP",MALU,National Historical Park,Southeast ,GA,2019,761650
Martin Van Buren NHS,MAVA,National Historic Site,Northeast ,NY,2019,20623
Mary McLeod Bethune Council House NHS,MABE,National Historic Site,National Capital ,DC,2019,3788
Mesa Verde NP,MEVE,National Park,Intermountain ,CO,2019,556203
Minidoka NHS,MIIN,National Historic Site,Pacific West ,,2019,13647
Minute Man NHP,MIMA,National Historical Park,Northeast ,MA,2019,1017326
Minuteman Missile NHS,MIMI,National Historic Site,Midwest ,SD,2019,125776
Mississippi NRRA,MISS,National River,Midwest ,MN,2019,374682
Missouri NRR,MNRR,National Wild & Scenic River,Midwest ,SD,2019,129280
Mojave NPRES,MOJA,National Preserve,Pacific West ,CA,2019,841516
Monocacy NB,MONO,National Battlefield,National Capital ,MD,2019,144969
Montezuma Castle NM,MOCA,National Monument,Intermountain ,AZ,2019,376254
Moores Creek NB,MOCR,National Battlefield,Southeast ,NC,2019,77006
Morristown NHP,MORR,National Historical Park,Northeast ,NJ,2019,271330
Mount Rainier NP,MORA,National Park,Pacific West ,WA,2019,1501621
Mount Rushmore NMEM,MORU,National Memorial,Midwest ,SD,2019,1963540
Muir Woods NM,MUWO,National Monument,Pacific West ,CA,2019,812073
Natchez NHP,NATC,National Historical Park,Southeast ,MS,2019,182123
Natchez Trace PKWY,NATR,National Parkway,Southeast ,MS,2019,6296041
National Capital Parks Central,NCPC,Park (Other),National Capital ,DC,2019,1770794
National Capital Parks East,NCPE,Park (Other),National Capital ,DC,2019,1210641
National Park of American Samoa,NPSA,National Park,Pacific West ,AS,2019,60006
Natural Bridges NM,NABR,National Monument,Intermountain ,UT,2019,88090
Navajo NM,NAVA,National Monument,Intermountain ,AZ,2019,49983
New Bedford Whaling NHP,NEBE,National Historical Park,Northeast ,MA,2019,143427
New Orleans Jazz NHP,JAZZ,National Historical Park,Southeast ,LA,2019,41049
New River Gorge NR,NERI,National River,Northeast ,WV,2019,1195721
Nez Perce NHP,NEPE,National Historical Park,Pacific West ,ID,2019,216068
Nicodemus NHS,NICO,National Historic Site,Midwest ,KS,2019,3540
Ninety Six NHS,NISI,National Historic Site,Southeast ,SC,2019,97295
Niobrara NSR,NIOB,National Wild & Scenic River,Midwest ,NE,2019,60812
Noatak NPRES,NOAT,National Preserve,Alaska,AK,2019,17216
North Cascades NP,NOCA,National Park,Pacific West ,WA,2019,38208
Obed W&SR,OBRI,National Wild & Scenic River,Southeast ,TN,2019,221301
Ocmulgee Mounds NHP,OCMU,National Historical Park,Southeast ,GA,2019,146925
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,3245806
Oregon Caves NM & PRES,ORCA,National Monument,Pacific West ,OR,2019,65006
Organ Pipe Cactus NM,ORPI,National Monument,Intermountain ,AZ,2019,263186
Ozark NSR,OZAR,National River,Midwest ,MO,2019,1221489
Padre Island NS,PAIS,National Seashore,Intermountain ,TX,2019,576299
Palo Alto Battlefield NHP,PAAL,National Historical Park,Intermountain ,TX,2019,149733
Paterson Great Falls NHP,PAGR,National Historical Park,Northeast ,,2019,276985
Pea Ridge NMP,PERI,National Military Park,Midwest ,AR,2019,102753
Pearl Harbor NMEM,VALR,National Memorial,Pacific West ,HI,2019,1716535
Pecos NHP,PECO,National Historical Park,Intermountain ,NM,2019,43834
Pennsylvania Avenue NHS,PAAV,National Historic Site,National Capital ,DC,2019,125035
Perry's Victory & Intl. Peace MEM,PEVI,National Memorial,Midwest ,OH,2019,121325
Petersburg NB,PETE,National Battlefield,Northeast ,VA,2019,235691
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,643588
Petroglyph NM,PETR,National Monument,Intermountain ,NM,2019,293957
Pictured Rocks NL,PIRO,National Lakeshore,Midwest ,MI,2019,858715
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,177224
Pipe Spring NM,PISP,National Monument,Intermountain ,AZ,2019,27482
Pipestone NM,PIPE,National Monument,Midwest ,MN,2019,77508
Piscataway Park,PISC,Park (Other),National Capital ,MD,2019,329729
Point Reyes NS,PORE,National Seashore,Pacific West ,CA,2019,2265301
Port Chicago Naval Magazine NMEM,POCH,National Memorial,Pacific West ,CA,2019,830
President W.J. Clinton Birthplace Home NHS,WICL,National Historic Site,Southeast ,AR,2019,8758
President's Park,PRPA,Park (Other),National Capital ,DC,2019,715911
Prince William Forest Park,PRWI,Park (Other),National Capital ,VA,2019,339693
Pu'uhonua o Honaunau NHP,PUHO,National Historical Park,Pacific West ,HI,2019,414410
Pu'ukohola Heiau NHS,PUHE,National Historic Site,Pacific West ,HI,2019,133573
Rainbow Bridge NM,RABR,National Monument,Intermountain ,UT,2019,115108
Redwood NP,REDW,National Park,Pacific West ,CA,2019,504722
Richmond NBP,RICH,National Battlefield Park,Northeast ,VA,2019,197242
Rio Grande W&SR,RIGR,National Wild & Scenic River,Intermountain ,TX,2019,324
River Raisin NBP,RIRA,National Battlefield Park,Midwest ,MI,2019,226354
Rock Creek Park,ROCR,Park (Other),National Capital ,DC,2019,2416232
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,4670053
Roger Williams NMEM,ROWI,National Memorial,Northeast ,RI,2019,59419
Rosie The Riveter WWII Home Front NHP,RORI,National Historical Park,Pacific West ,,2019,50404
Ross Lake NRA,ROLA,National Recreation Area,Pacific West ,WA,2019,1088528
Russell Cave NM,RUCA,National Monument,Southeast ,AL,2019,16642
Sagamore Hill NHS,SAHI,National Historic Site,Northeast ,NY,2019,36738
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,1020226
Saint Croix Island IHS,SACR,International Historic Site,Northeast ,ME,2019,11613
Saint Croix NSR,SACN,National Wild & Scenic River,Midwest ,WI,2019,638258
Saint Paul's Church NHS,SAPA,National Historic Site,Northeast ,NY,2019,18537
Saint-Gaudens NHP,SAGA,National Historical Park,Northeast ,NH,2019,31759
Salem Maritime NHS,SAMA,National Historic Site,Northeast ,MA,2019,339238
Salinas Pueblo Missions NM,SAPU,National Monument,Intermountain ,NM,2019,31672
Salt River Bay NHP & Ecological Pres,SARI,National Historical Park,Southeast ,VI,2019,5215
San Antonio Missions NHP,SAAN,National Historical Park,Intermountain ,TX,2019,1281121
San Francisco Maritime NHP,SAFR,National Historical Park,Pacific West ,CA,2019,4016598
San Juan Island NHP,SAJH,National Historical Park,Pacific West ,WA,2019,292507
San Juan NHS,SAJU,National Historic Site,Southeast ,PR,2019,1197345
Sand Creek Massacre NHS,SAND,National Historic Site,Intermountain ,CO,2019,5701
Santa Monica Mountains NRA,SAMO,National Recreation Area,Pacific West ,CA,2019,707566
Saratoga NHP,SARA,National Historical Park,Northeast ,NY,2019,145118
Saugus Iron Works NHS,SAIR,National Historic Site,Northeast ,MA,2019,8150
Scotts Bluff NM,SCBL,National Monument,Midwest ,NE,2019,166007
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,1246053
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,1425507
Shiloh NMP,SHIL,National Military Park,Southeast ,TN,2019,360989
Sitka NHP,SITK,National Historical Park,Alaska,AK,2019,232876
Sleeping Bear Dunes NL,SLBE,National Lakeshore,Midwest ,MI,2019,1570001
Springfield Armory NHS,SPAR,National Historic Site,Northeast ,MA,2019,20979
Statue of Liberty NM,STLI,National Monument,Northeast ,NY,2019,4240461
Steamtown NHS,STEA,National Historic Site,Northeast ,PA,2019,105403
Stones River NB,STRI,National Battlefield,Southeast ,TN,2019,284516
Stonewall NM,STON,National Monument,Northeast ,,2019,2088929
Sunset Crater Volcano NM,SUCR,National Monument,Intermountain ,AZ,2019,108379
Tallgrass Prairie NPRES,TAPR,National Preserve,Midwest ,KS,2019,33750
Thaddeus Kosciuszko NMEM,THKO,National Memorial,Northeast ,PA,2019,1921
Theodore Roosevelt Birthplace NHS,THRB,National Historic Site,Northeast ,NY,2019,25978
Theodore Roosevelt Inaugural NHS,THRI,National Historic Site,Northeast ,NY,2019,26994
Theodore Roosevelt Island,THIS,National Memorial,National Capital ,VA,2019,151500
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,691658
Thomas Edison NHP,EDIS,National Historical Park,Northeast ,NJ,2019,42224
Thomas Jefferson MEM,JEFM,National Memorial,National Capital ,DC,2019,3096895
Thomas Stone NHS,THST,National Historic Site,Northeast ,MD,2019,8020
Timpanogos Cave NM,TICA,National Monument,Intermountain ,UT,2019,103512
Timucuan EHP,TIMU,National Preserve,Southeast ,FL,2019,1205065
Tonto NM,TONT,National Monument,Intermountain ,AZ,2019,28853
Tumacacori NHP,TUMA,National Historical Park,Intermountain ,AZ,2019,39704
Tuskegee Airmen NHS,TUAI,National Historic Site,Southeast ,AL,2019,30097
Tuskegee Institute NHS,TUIN,National Historic Site,Southeast ,AL,2019,36395
Tuzigoot NM,TUZI,National Monument,Intermountain ,AZ,2019,98538
Ulysses S. Grant NHS,ULSG,National Historic Site,Midwest ,MO,2019,39449
Upper Delaware S&RR,UPDE,National Wild & Scenic River,Northeast ,PA,2019,215537
Valley Forge NHP,VAFO,National Historical Park,Northeast ,PA,2019,2259944
Vanderbilt Mansion NHS,VAMA,National Historic Site,Northeast ,NY,2019,326822
Vicksburg NMP,VICK,National Military Park,Southeast ,MS,2019,576456
Vietnam Veterans MEM,VIVE,National Memorial,National Capital ,DC,2019,4580587
Virgin Islands NP,VIIS,National Park,Southeast ,VI,2019,133398
Voyageurs NP,VOYA,National Park,Midwest ,MN,2019,232974
Waco Mammoth NM,WACO,National Monument,Intermountain ,,2019,111331
Walnut Canyon NM,WACA,National Monument,Intermountain ,AZ,2019,152333
War in the Pacific NHP,WAPA,National Historical Park,Pacific West ,GU,2019,432213
Washington Monument,WAMO,National Memorial,National Capital ,DC,2019,108410
Washita Battlefield NHS,WABA,National Historic Site,Intermountain ,OK,2019,9119
Weir Farm NHS,WEFA,National Historic Site,Northeast ,CT,2019,38700
Whiskeytown NRA,WHIS,National Recreation Area,Pacific West ,CA,2019,687159
White House,WHHO,Park (Other),National Capital ,DC,2019,454117
White Sands NP,WHSA,National Park,Intermountain ,NM,2019,608785
Whitman Mission NHS,WHMI,National Historic Site,Pacific West ,WA,2019,48481
William Howard Taft NHS,WIHO,National Historic Site,Midwest ,DC,2019,32396
Wilson's Creek NB,WICR,National Battlefield,Midwest ,MO,2019,232838
Wind Cave NP,WICA,National Park,Midwest ,SD,2019,615350
Wolf Trap NP for the Performing Arts,WOTR,Park (Other),National Capital ,VA,2019,402580
Women's Rights NHP,WORI,National Historical Park,Northeast ,NY,2019,39064
World War II Memorial,WWII,National Memorial,National Capital ,DC,2019,4831327
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,74518
Wright Brothers NMEM,WRBR,National Memorial,Southeast ,NC,2019,400135
Wupatki NM,WUPA,National Monument,Intermountain ,AZ,2019,187059
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,4020288
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,4422861
Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2019,1114
Zion NP,ZION,National Park,Intermountain ,UT,2019,4488268
